         600127126 function calls (600120319 primitive calls) in 537.298 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      374    0.007    0.000    0.475    0.001 <frozen importlib._bootstrap_external>:793(get_code)
     2962    0.007    0.000    0.010    0.000 C:\Users\luizf\AppData\Local\Programs\Python\Python37\lib\ntpath.py:122(splitdrive)
      100    0.007    0.000    0.034    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:21(newCandRand)
    46655    0.007    0.000    0.007    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\objects.py:26(getPeriod)
    46655    0.007    0.000    0.007    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\objects.py:32(getPrefCampus)
     8031    0.007    0.000    0.007    0.000 {built-in method builtins.hasattr}
    471/4    0.007    0.000    1.328    0.332 <frozen importlib._bootstrap>:978(_find_and_load)
       54    0.007    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1190(_path_hooks)
     3762    0.007    0.000    0.007    0.000 {method 'format' of 'str' objects}
    25620    0.006    0.000    0.006    0.000 {method 'startswith' of 'str' objects}
     1333    0.006    0.000    0.109    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:514(calc_f7)
      562    0.006    0.000    0.021    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:1114(elitismSelection)
    12299    0.006    0.000    0.006    0.000 {built-in method builtins.getattr}
     2732    0.006    0.000    0.006    0.000 {built-in method _codecs.charmap_encode}
     1246    0.006    0.000    0.018    0.000 C:\Users\luizf\AppData\Local\Programs\Python\Python37\lib\_bootlocale.py:11(getpreferredencoding)
      463    0.006    0.000    0.174    0.000 <frozen importlib._bootstrap>:882(_find_spec)
     1333    0.006    0.000    0.006    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:504(<listcomp>)
     1333    0.005    0.000    0.005    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:319(<listcomp>)
      592    0.005    0.000    0.122    0.000 C:\Users\luizf\AppData\Local\Programs\Python\Python37\lib\site-packages\pytz\__init__.py:78(open_resource)
     9100    0.005    0.000    0.006    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\objects.py:87(addRelation)
     1113    0.005    0.000    0.010    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
     1333    0.005    0.000    0.013    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:376(<listcomp>)
     1333    0.005    0.000    0.027    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:333(<listcomp>)
      748    0.005    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
     1113    0.004    0.000    0.005    0.000 <frozen importlib._bootstrap>:78(acquire)
      186    0.004    0.000    0.006    0.000 C:\Users\luizf\AppData\Local\Programs\Python\Python37\lib\sre_compile.py:276(_optimize_charset)
     3022    0.004    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
      597    0.004    0.000    0.012    0.000 C:\Users\luizf\AppData\Local\Programs\Python\Python37\lib\ntpath.py:75(join)
    451/4    0.004    0.000    1.325    0.331 <frozen importlib._bootstrap>:663(_load_unlocked)
   430/76    0.004    0.000    0.012    0.000 C:\Users\luizf\AppData\Local\Programs\Python\Python37\lib\sre_compile.py:71(_compile)
     3022    0.004    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
     4067    0.004    0.000    0.004    0.000 C:\Users\luizf\AppData\Local\Programs\Python\Python37\lib\sre_parse.py:233(__next)
     2732    0.004    0.000    0.010    0.000 C:\Users\luizf\AppData\Local\Programs\Python\Python37\lib\encodings\cp1252.py:18(encode)
     1333    0.004    0.000    0.004    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:471(<listcomp>)
      599    0.004    0.000    0.007    0.000 C:\Users\luizf\AppData\Local\Programs\Python\Python37\lib\ntpath.py:178(split)
      450    0.004    0.000    0.018    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
      938    0.003    0.000    0.003    0.000 {built-in method _thread.allocate_lock}
      748    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:62(_path_split)
     1113    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:103(release)
    471/4    0.003    0.000    1.328    0.332 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
2751/1754    0.003    0.000    0.513    0.000 <frozen importlib._bootstrap>:1009(_handle_fromlist)
      450    0.003    0.000    0.164    0.000 <frozen importlib._bootstrap_external>:1240(_get_spec)
     5066    0.003    0.000    0.003    0.000 {method 'join' of 'str' objects}
     1244    0.003    0.000    0.003    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:1192(stop)
     1333    0.003    0.000    0.003    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:421(<listcomp>)
     1333    0.003    0.000    0.003    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:522(<listcomp>)
      944    0.003    0.000    0.080    0.000 C:\Users\luizf\AppData\Local\Programs\Python\Python37\lib\re.py:271(_compile)
     1333    0.003    0.000    0.003    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:446(<listcomp>)
      614    0.003    0.000    0.003    0.000 C:\Users\luizf\AppData\Local\Programs\Python\Python37\lib\site-packages\numpy\compat\_inspect.py:67(getargs)
     1333    0.003    0.000    0.003    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:302(<listcomp>)
      954    0.003    0.000    0.003    0.000 {built-in method __new__ of type object at 0x00007FF8C92D4BA0}
      497    0.003    0.000    0.005    0.000 C:\Users\luizf\AppData\Local\Programs\Python\Python37\lib\functools.py:37(update_wrapper)
     1333    0.003    0.000    0.003    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\objects.py:107(setFeaVariables)
      592    0.003    0.000    0.137    0.000 C:\Users\luizf\AppData\Local\Programs\Python\Python37\lib\site-packages\pytz\__init__.py:111(resource_exists)
