sLevel;sCode;sName;sQuadri;sPeriod;sCharge;pName;pPeriod;pCharge;pQuadriSabbath
G;DAMCZA020-13SA;PROGRAMAÁ„O PARALELA;Q1;DIURNO;4;VERA NAGAMUTA;NEGOCI·VEL;18;Q1
G;DAMCTA010-15SA;ENGENHARIA DE SOFTWARE;Q1;DIURNO;4;CESAR GIACOMINI PENTEADO;NEGOCI·VEL;18;Q3
G;DAMCTA037-17SA;BANCO DE DADOS;Q3;DIURNO;4;LUIS PAULO SCOTT;DIURNO;18;Q3
G;NA1MCTA037-17SA;BANCO DE DADOS;Q3;NOTURNO;2;MIRTHA L. F. VENERO;DIURNO;18;Q2
G;NAMCTA037-17SA;BANCO DE DADOS;Q3;NOTURNO;2;ANDRÈ BALAN;DIURNO;18;Q3
G;DA1MCTA014-15SA;INTELIGÍNCIA ARTIFICIAL;Q3;DIURNO;2;WAGNER TANAKA BOTELHO;NEGOCI·VEL;18;Q2
G;DAMCTA014-15SA;INTELIGÍNCIA ARTIFICIAL;Q3;DIURNO;2;GUIOU KOBAYASHI;NEGOCI·VEL;18;Q2
G;NA1MCTA014-15SA;INTELIGÍNCIA ARTIFICIAL;Q3;NOTURNO;2;LUIS PAULO SCOTT;DIURNO;18;Q3
G;NAMCTA014-15SA;INTELIGÍNCIA ARTIFICIAL;Q3;NOTURNO;2;MARIA DAS GRAÁAS BRUNO MARIETTO;NEGOCI·VEL;18;Q2
G;DAMCTA009-13SA;COMPUTADORES, …TICA E SOCIEDADE;Q2;DIURNO;2;ANDRÈ BALAN;DIURNO;18;Q3
G;NAMCTA009-13SA;COMPUTADORES, …TICA E SOCIEDADE;Q2;NOTURNO;2;ROGÈRIO ROSSI;NEGOCI·VEL;18;NENHUM
G;DAMCZA015-13SA;MINERAÁ„O DE DADOS;Q2;DIURNO;4;ROGÈRIO PERINO DE OLIVEIRA NEVES;NEGOCI·VEL;18;Q2
G;DA1MCTA014-15SA;INTELIGÍNCIA ARTIFICIAL;Q3;DIURNO;1;JULIANA;DIURNO;18;Q1
G;NA1MCTA014-15SA;INTELIGÍNCIA ARTIFICIAL;Q3;NOTURNO;1;VERA NAGAMUTA;NEGOCI·VEL;18;Q1
G;NAMCZA006-17SA;COMPUTAÁ„O EVOLUTIVA E CONEXIONISTA;Q2;NOTURNO;4;CRISTIANE SATO;NEGOCI·VEL;18;NENHUM
G;NAMCZA047-14SA;SISTEMAS MULTI-ROBÙS SOCIAIS;Q3;NOTURNO;4;FABRICIO OLIVETTI DE FRANÁA;DIURNO;18;NENHUM
 
Feasible;1.0
