G;NAMCZC007-15SB;Ergonomia Cognitiva;Q1;Noturno;SB;2
G;DAMCZC008-13SB;Neuroarte;Q1;Diurno;SB;2
G;NAMCZC008-13SB;Neuroarte;Q1;Noturno;SB;2
G;DAMCTC002-15SA;Introdução à Neurociência;Q3;Diurno;SA;4
G;NAMCTC002-15SB;Introdução à Neurociência;Q3;Noturno;SB;2
G;NAMCTC011-15SB;Psicologia Cognitiva;Q3;Noturno;SB;4
G;DSBCM0505-15SA;Processamento da Informação - EAD;Q1;Diurno;EAD;3
G;NA3MCTA022-13SA;Redes de Computadores;Q1;Noturno;SA;2,5
G;NA4MCTA022-13SA;Redes de Computadores;Q1;Noturno;SA;1,5
G;DSBCM0505-15SB;Processamento da Informação - EAD;Q2;Diurno;SB;5
G;DA1BIS0005-15SB;Bases Computacionais da Ciência;Q2;Diurno;SB;2
G;DB1BIS0005-15SB;Bases Computacionais da Ciência;Q2;Diurno;SB;2
G;DDBCS0002-15SB;Projeto Dirigido;Q1;Diurno;SB;2
G;DA1MCTC023-15SB;Neuroanatomia;Q1;Diurno;SB;1
G;NA1MCTC023-15SB;Neuroanatomia;Q1;Noturno;SB;1
PG;NCG001M171;Neurociência;Q1;Noturno;SB;3
G;DAMCTC001-15SB;Introdução à Filosofia da Mente;Q2;Diurno;SB;2
PG;NCG104M172;Desenvolvimento Neural e Cognitivo;Q2;;SB;2
PG;NCG301M172;Filosofia da Mente e da Neurociência;Q2;;SB;2
G;NAMCZC002-15SB;Bases Neurais da Motricidade;Q3;Noturno;SB;4
G;NA1BCM0505-15SA;Processamento da Informação;Q2;Noturno;SA;1,5
G;NA2BCM0505-15SA;Processamento da Informação;Q2;Noturno;SA;1,5
PG;CCM103M172;Otimização Combinatória;Q2;;SA;4
G;DAMCTA017-17SA;Programação Matemática;Q3;Diurno;SA;4
G;NA2BCN0402-15SA;Funções de Uma Variável;Q3;Noturno;SA;4
G;NB2BCN0402-15SA;Funções de Uma Variável;Q3;Noturno;SA;4
G;;Coordenador de Funções de Uma Variável;Q3;Noturno;;3
PG;MAT313D173;Seminários do Programa de Matemática III, IV e VI;Q3;;SA;2
G;DAMCTC002-15SB;Introdução à Neurociência;Q3;Diurno;SB;4
G;NAMCTC002-15SB;Introdução à Neurociência;Q3;Noturno;SB;2
G;DAMCTB010-13SA;Cálculo Vetorial e Tensorial;Q1;Diurno;SA;4
PG;;Recursos Computacionais no Ensino de Matemática;Q2;Noturno;SA;4
G;DAMCTB021-17SA;Probabilidade;Q3;Diurno;SA;4
G;DA10BIS0005-15SA;Bases Computacionais da Ciência;Q2;Diurno;SA;2
G;DB1BIS0005-15SA;Bases Computacionais da Ciência;Q2;Diurno;SA;2
G;DAMCTA003-17SA;Análise de Algoritmos;Q2;Diurno;SA;4
G;DSBCM0505-15SB;Processamento da Informação - EAD;Q3;Diurno;SB;3
G;DBMCTA028-15SA;Programação Estruturada;Q3;Diurno;SA;4
EX;;Programação em Python para Iniciantes;Q3;;SA;1
G;NA2BIS0005-15SA;Bases Computacionais da Ciência;Q2;Noturno;SA;2
G;NB2BIS0005-15SA;Bases Computacionais da Ciência;Q2;Noturno;SA;2
PG;CCM203M172;Mineração de Dados;Q2;;SA;4
G;;Coordenador de Natureza da Informação;Q3;Noturno;;3
G;DA7BCM0505-15SA;Processamento da Informação;Q1;Diurno;SA;2
G;NA3BIS0005-15SB;Bases Computacionais da Ciência;Q1;Noturno;SB;2
G;NB1BIS0005-15SB;Bases Computacionais da Ciência;Q1;Noturno;SB;2
PG;BTC208D171;Empreendedorismo, Gestão da Inovação e Propriedade Intelectual;Q1;Noturno;SA;0,75
PG;CCM105D171;Teoria dos Grafos;Q1;Noturno;SA;4
G;NA1BCM0505-15SB;Processamento da Informação;Q2;Noturno;SB;2
G;NA1MCTA016-13SA;Paradigmas de Programação;Q2;Noturno;SA;2
G;NAMCTA016-13SA;Paradigmas de Programação;Q2;Noturno;SA;2
G;NA1MCZA015-13SA;Mineração de Dados;Q2;Noturno;SA;3
G;NAMCZA015-13SA;Mineração de Dados;Q2;Noturno;SA;1
PG;CCM001D171;Análise de Algoritmos e Estrutura de Dados;Q1;Noturno;SA;4
G;DAMCTA023-13SA;Segurança de Dados;Q1;Diurno;SA;4
G;NAMCTA023-13SA;Segurança de Dados;Q1;Noturno;SA;4
G;DSBCM0505-15SB;Processamento da Informação - EAD;Q3;Diurno;SB;2
G;;Coordenadora de Processamento da Informação - EAD;Q3;Noturno;;2
G;NA1MCTA002-17SA;Algoritmos e Estruturas de Dados II;Q3;Noturno;SA;2
G;NAMCTA002-17SA;Algoritmos e Estruturas de Dados II;Q3;Noturno;SA;2
EX;;Software Livre (Curso especialização TSI);Q3;;;4,75
G;NB3BCM0505-15SA;Processamento da Informação;Q1;Noturno;SA;2
G;DAMCZA029-13SA;Sistemas Multimídia;Q1;Diurno;SA;4
G;NAMCZA031-13SA;Web Semântica;Q1;Noturno;SA;4
G;DA7BIS0005-15SA;Bases Computacionais da Ciência;Q2;Diurno;SA;2
G;DB7BIS0005-15SA;Bases Computacionais da Ciência;Q2;Diurno;SA;2
G;NA8BIS0005-15SA;Bases Computacionais da Ciência;Q2;Noturno;SA;2
G;NB8BIS0005-15SA;Bases Computacionais da Ciência;Q2;Noturno;SA;2
G;NBMCTB001-13SA;Álgebra Linear;Q1;Noturno;SA;6
G;;Coordenador de Álgebra Linear;Q1;Noturno;SA;1
G;NAMCTB001-17SA;Álgebra Linear;Q3;Noturno;SA;6
G;NBMCTB001-17SA;Álgebra Linear;Q3;Noturno;SA;6
G;NA2BCN0407-15SA;Funções de Várias Variáveis;Q1;Noturno;SA;4
G;NB2BCN0407-15SA;Funções de Várias Variáveis;Q1;Noturno;SA;4
G;DABCN0407-15SA;Funções de Várias Variáveis;Q2;Diurno;SA;4
G;DBBCN0407-15SA;Funções de Várias Variáveis;Q2;Diurno;SA;4
G;;Coordenador de Funções de Várias Variáveis;Q2;;SA;1
G;NA2BIS0003-15SA;Bases Matemáticas;Q3;Noturno;SA;4
G;NBBIS0003-15SA;Bases Matemáticas;Q3;Noturno;SA;4
