G;NB6BIS0005-15SA;Bases Computacionais da Ciência;Q2;Noturno;SA;2;0;segunda das 19:00 às 21:00, Lab. L703, semanal 
G;DAMCTA027-17SA;Teoria dos Grafos;Q3;Diurno;SA;4;quarta das 10:00 às 12:00, sala S - 301-1, semanal/sexta das 08:00 às 10:00, sala S - 301-1, semanal ;0
G;NA3BIS0003-15SA;Bases Matemáticas;Q2;Noturno;SA;4;terca das 21:00 às 23:00, Lab. A - 103-0, semanal/sexta das 19:00 às 21:00, Lab. A - 103-0, semanal ;0
G;NB3BIS0003-15SA;Bases Matemáticas;Q2;Noturno;SA;4;terca das 19:00 às 21:00, Lab. A - 113-0, semanal/sexta das 21:00 às 23:00, Lab. A - 113-0, semanal ;0
G;DAMCTB017-13SA;Geometria Diferencial II;Q2;Diurno;SA;4;terca das 10:00 às 12:00, Lab. S - 502, semanal/quinta das 08:00 às 10:00, Lab. S - 502, semanal ;0
G;;Coordenador de Bases Matemáticas;Q2;;;3;0;Terça das 14:00 às18:00, Lab. 407-2
G;DB1BCN0402-15SA;Funções de Uma Variável;Q3;Diurno;SA;4;terca das 08:00 às 10:00, sala A - 104-0, semanal/quinta das 10:00 às 12:00, sala A - 104-0, semanal ;0
G;NB3BCN0402-15SA;Funções de Uma Variável;Q3;Noturno;SA;4;terca das 19:00 às 21:00, sala A - 106-0, semanal/quinta das 21:00 às 23:00, sala A - 106-0, semanal ;0
G;DSBCM0505-15SA;Processamento da Informação - EAD;Q1;Diurno;EAD;4;"Aula Inaugural dia 08/02/17 das 17:00 às 19:00, salas 205-0 e 207-0; Primeira Prova dia 15/03/17 das 17:00 às 19:00, salas 205-0 e 207-0 "; ECONTROS SERÁO BREVEMENTE PUBLICADOS
G;NA3BCM0505-15SA;Processamento da Informação;Q1;Noturno;SA;2;terca das 19:00 às 21:00, sala A - 101-0, semanal/sexta das 21:00 às 23:00, sala A - 101-0, quinzenal I;quinta das 21:00 às 23:00, sala L503, semanal 
EX;;NTME - Novas Tecnologias e Metodologias para Educação;Q1;;SA;2;0;Terça das 14:00 às18:00, Lab. 407-2
G;DA3BCM0505-15SA;Processamento da Informação;Q2;Diurno;SA;2;terca das 08:00 às 10:00, sala A - 101-0, semanal/sexta das 10:00 às 12:00, sala A - 101-0, quinzenal I;quinta das 10:00 às 12:00, sala L503, semanal 
G;DSBCM0505-15SA;Processamento da Informação;Q2;Diurno;SA;5;"Aula Inaugural dia 08/02/17 das 17:00 às 19:00, salas 205-0 e 207-0; Primeira Prova dia 15/03/17 das 17:00 às 19:00, salas 205-0 e 207-0 "; ECONTROS SERÁO BREVEMENTE PUBLICADOS
EX;;NTME - Novas Tecnologias e Metodologias para Educação;Q2;;SA;2;0;Terça das 14:00 às18:00, Lab. 407-2
G;DA1BCM0506-15SA;Comunicação e Redes;Q2;Diurno;SA;3;segunda das 08:00 às 10:00, Lab. S - 204-0, semanal/terca das 10:00 às 12:00, Lab. S - 204-0, quinzenal I;0
PG;INF103M172;Avaliação de Desempenho de Redes e Sistemas;Q2;;SA;4;#N/D;#N/D
PG;CCM002D173;Metodologia de Pesquisa em Ciência da Computação;Q3;;SA;2;#N/D;#N/D
G;NA2BCM0505-15SA;Processamento da Informação;Q1;Noturno;SA;2;terca das 19:00 às 21:00, sala A - 101-0, semanal/sexta das 21:00 às 23:00, sala A - 101-0, quinzenal I;quinta das 21:00 às 23:00, sala 404-2, semanal 
G;NAMCZA002-13SA;Aprendizado de Máquina;Q1;Noturno;SA;4;segunda das 21:00 às 23:00, sala A - 114-0, semanal/quinta das 19:00 às 21:00, sala A - 114-0, semanal ;0
PG;CCM304M171;Visão Computacional e Processamento de Imagens;Q1;Noturno;SA;4;#N/D;#N/D
G;DABIN0406-15SB;Introdução à Probabilidade e à Estatística;Q2;Diurno;SB;3;terca das 08:00 às 10:00, Lab. A2-S103-SB, quinzenal I/sexta das 10:00 às 12:00, Lab. A2-S103-SB, semanal ;0
G;DBBIN0406-15SB;Introdução à Probabilidade e à Estatística;Q2;Diurno;SB;3;terca das 10:00 às 12:00, Lab. A2-S104-SB, quinzenal I/sexta das 08:00 às 10:00, Lab. A2-S104-SB, semanal ;0
G;NA1MCZA015-13SA;Mineração de Dados;Q2;Noturno;SA;1;terca das 21:00 às 23:00, Lab. S - 302-3, semanal ;sexta das 19:00 às 21:00, Lab. 408-2, quinzenal II e Lab. de aula 311-3, quinzenal I 
G;DABCN0404-15SA;Geometria Analítica;Q1;Diurno;SA;3;segunda das 16:00 às 18:00, sala A - 104-0, quinzenal I/quinta das 14:00 às 16:00, sala A - 104-0, semanal ;0
G;DA1BCN0407-15SA;Funções de Várias Variáveis;Q1;Diurno;SA;4;segunda das 10:00 às 12:00, sala A - 101-0, semanal/quinta das 08:00 às 10:00, sala A - 101-0, semanal ;0
G;DB2BCN0407-15SA;Funções de Várias Variáveis;Q1;Diurno;SA;4;segunda das 08:00 às 10:00, sala A - 105-0, semanal/quinta das 10:00 às 12:00, sala A - 105-0, semanal ;0
G;;Coordenadora de Geometria Analítica;Q1;Noturno;SA;1;0;Terça das 14:00 às18:00, Lab. 407-2
G;DABIS0003-15SB;Bases Matemáticas;Q3;Diurno;SB;4;segunda das 17:00 às 19:00, sala B-A004-SB, semanal/quarta das 17:00 às 19:00, sala B-A004-SB, semanal ;0
